epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9345,2.79868,3.73829,3.4483,0.00061,0.17206,0.00056,0.0001,3.75005,4.11368,3.6894,0.000197778,0.000197778,0.08042
2,42.4872,1.93676,2.77231,2.9828,0.28535,0.13293,0.07785,0.02065,2.17944,3.61271,3.18596,0.000397389,0.000397389,0.0606196
3,64.832,1.62478,2.45638,2.66788,0.10962,0.22382,0.10202,0.03642,2.00822,4.17364,2.9314,0.000595445,0.000595445,0.0408177
4,86.0886,1.46847,2.33144,2.4937,0.6076,0.21762,0.19537,0.06872,1.87682,3.16047,2.84752,0.000790783,0.000790783,0.021013
5,108.703,1.39375,2.26538,2.38772,0.60509,0.29734,0.26442,0.09554,1.61897,2.83216,2.61194,0.000982261,0.000982261,0.00120448
6,130.048,1.30411,2.15911,2.26628,0.52948,0.36102,0.34933,0.13697,1.29918,2.46829,2.43044,0.000975773,0.000975773,0.000975773
7,151.948,1.24165,2.03942,2.16277,0.44422,0.43402,0.38548,0.14325,1.32939,2.38237,2.39859,0.000965239,0.000965239,0.000965239
8,173.548,1.17633,1.96389,2.10029,0.39771,0.47082,0.39725,0.15878,1.35727,2.20952,2.40522,0.000952889,0.000952889,0.000952889
9,194.826,1.17292,1.93665,2.05388,0.53024,0.43727,0.44356,0.18753,1.24367,2.15356,2.27212,0.000938772,0.000938772,0.000938772
10,218.125,1.11742,1.8954,2.01921,0.57883,0.44376,0.45009,0.18546,1.21448,2.33893,2.28633,0.000922942,0.000922942,0.000922942
11,238.528,1.10406,1.8578,1.98391,0.44226,0.45333,0.44632,0.19102,1.29836,1.96846,2.28814,0.000905463,0.000905463,0.000905463
12,260.508,1.07615,1.80616,1.96782,0.42983,0.44583,0.43948,0.16667,1.22722,2.02774,2.21639,0.000886404,0.000886404,0.000886404
13,282.014,1.06784,1.77693,1.94938,0.57322,0.52487,0.54164,0.23445,1.05965,2.04675,2.11964,0.000865839,0.000865839,0.000865839
14,303.344,1.03854,1.72725,1.91569,0.63628,0.46688,0.49427,0.21823,1.05521,1.91364,2.11527,0.000843851,0.000843851,0.000843851
15,325.2,1.02276,1.73438,1.88361,0.77961,0.37189,0.48698,0.22057,1.09216,1.89959,2.10481,0.000820525,0.000820525,0.000820525
16,345.852,0.99711,1.67506,1.87725,0.47965,0.50342,0.49325,0.20255,1.07054,2.04696,2.14375,0.000795954,0.000795954,0.000795954
17,366.556,0.98811,1.64224,1.85469,0.45052,0.51637,0.50264,0.22864,1.15228,1.8051,2.10742,0.000770234,0.000770234,0.000770234
