epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0225,1.92499,3.03033,2.03138,0.83927,0.13157,0.18224,0.08373,2.20726,3.33451,2.38499,0.000197778,0.000197778,0.08042
2,49.0113,1.72972,2.1297,1.85931,0.63654,0.33222,0.34941,0.15671,1.96543,2.56052,2.17425,0.000397767,0.000397767,0.06062
3,73.266,1.72256,2.00834,1.84444,0.55857,0.34636,0.38484,0.16139,1.90993,2.38508,2.23505,0.000597713,0.000597713,0.0408199
4,95.1658,1.70986,1.9266,1.82683,0.58293,0.32776,0.43406,0.17183,1.92926,2.58773,2.16853,0.000797583,0.000797583,0.0210198
5,119.308,1.71682,1.89332,1.8389,0.45329,0.39332,0.34636,0.14322,2.08953,2.39157,2.18156,0.000997345,0.000997345,0.00121957
6,141.126,1.72851,1.86235,1.83856,0.51057,0.44194,0.40739,0.17677,1.84975,2.48005,2.08457,0.000999322,0.000999322,0.000999322
7,165.274,1.70521,1.83261,1.82328,0.41934,0.5112,0.45993,0.19706,1.90224,2.11737,2.18171,0.000999023,0.000999023,0.000999023
8,187.311,1.65818,1.76618,1.78374,0.54876,0.4365,0.40524,0.17464,2.03076,2.31379,2.12984,0.000998671,0.000998671,0.000998671
9,211.095,1.66318,1.72565,1.76903,0.45639,0.5301,0.51864,0.22742,1.87228,1.93639,1.9738,0.000998264,0.000998264,0.000998264
10,233.088,1.65134,1.72668,1.78712,0.61659,0.47508,0.52508,0.2402,1.79121,1.86403,1.93501,0.000997803,0.000997803,0.000997803
11,257.416,1.62864,1.66961,1.7346,0.78085,0.39923,0.52347,0.24253,1.8513,1.94801,2.06348,0.000997288,0.000997288,0.000997288
12,279.942,1.61572,1.63071,1.75419,0.66109,0.48006,0.55815,0.26153,1.7724,1.8564,1.92339,0.00099672,0.00099672,0.00099672
13,304.188,1.60304,1.61334,1.73501,0.42331,0.59837,0.46419,0.21137,1.74123,2.02966,1.92096,0.000996097,0.000996097,0.000996097
14,326.219,1.60149,1.57729,1.71307,0.53533,0.55232,0.58358,0.27961,1.77239,1.70892,1.9234,0.00099542,0.00099542,0.00099542
15,350.503,1.59366,1.60199,1.70861,0.62911,0.48653,0.53868,0.24898,1.76541,1.71878,1.92812,0.00099469,0.00099469,0.00099469
16,372.314,1.56978,1.533,1.68927,0.5812,0.5886,0.59684,0.26305,1.79109,1.66838,1.98818,0.000993906,0.000993906,0.000993906
17,395.323,1.56067,1.51612,1.69774,0.67871,0.49332,0.58293,0.28169,1.73443,1.68201,1.87123,0.000993068,0.000993068,0.000993068
18,418.348,1.54608,1.52282,1.67952,0.56993,0.615,0.6085,0.28032,1.70925,1.66945,1.93734,0.000992177,0.000992177,0.000992177
19,441.076,1.53173,1.48306,1.66491,0.49168,0.58739,0.59889,0.28028,1.73895,1.68959,1.86575,0.000991232,0.000991232,0.000991232
20,464.007,1.52634,1.45273,1.65176,0.50545,0.63378,0.59885,0.29279,1.67427,1.60583,1.83251,0.000990234,0.000990234,0.000990234
21,487.201,1.53994,1.46422,1.65766,0.5181,0.64621,0.63533,0.30756,1.67356,1.6458,1.85228,0.000989183,0.000989183,0.000989183
22,510.648,1.51388,1.43186,1.65775,0.75768,0.52,0.65388,0.33103,1.60907,1.54854,1.80996,0.000988079,0.000988079,0.000988079
23,533.26,1.52285,1.41596,1.64749,0.62632,0.61264,0.63601,0.30824,1.70292,1.57593,1.89923,0.000986922,0.000986922,0.000986922
24,556.338,1.5217,1.43479,1.65423,0.56408,0.62802,0.63065,0.2927,1.7127,1.5954,1.89992,0.000985711,0.000985711,0.000985711
25,578.014,1.48512,1.43526,1.6229,0.64632,0.57283,0.63927,0.31179,1.64502,1.56331,1.80848,0.000984449,0.000984449,0.000984449
26,601.908,1.48323,1.39184,1.63349,0.52107,0.62361,0.63398,0.31286,1.62373,1.54936,1.77483,0.000983133,0.000983133,0.000983133
27,623.573,1.48334,1.38884,1.62019,0.56363,0.63501,0.63375,0.3038,1.69222,1.55885,1.86222,0.000981765,0.000981765,0.000981765
28,647.277,1.48696,1.38739,1.62731,0.51262,0.62815,0.58867,0.28275,1.69342,1.61884,1.88925,0.000980345,0.000980345,0.000980345
29,668.726,1.45538,1.35472,1.61288,0.54438,0.60453,0.5974,0.29035,1.69415,1.57797,1.83825,0.000978873,0.000978873,0.000978873
30,692.448,1.45985,1.36246,1.61872,0.63745,0.49146,0.62012,0.2964,1.7284,1.57653,1.87034,0.000977349,0.000977349,0.000977349
31,714.083,1.46523,1.35647,1.6149,0.56346,0.61372,0.61363,0.2971,1.73455,1.58829,1.86819,0.000975773,0.000975773,0.000975773
32,736.707,1.44741,1.34264,1.59096,0.59255,0.65812,0.6649,0.32769,1.65092,1.48375,1.82908,0.000974145,0.000974145,0.000974145
33,759.242,1.43915,1.33363,1.59188,0.54719,0.6234,0.6668,0.33426,1.66185,1.51842,1.83471,0.000972466,0.000972466,0.000972466
34,782.297,1.42735,1.3131,1.58828,0.52309,0.62082,0.61147,0.29466,1.71197,1.65886,1.86204,0.000970736,0.000970736,0.000970736
35,805.298,1.44294,1.34124,1.60728,0.62836,0.64928,0.66625,0.325,1.637,1.53295,1.81363,0.000968955,0.000968955,0.000968955
36,827.117,1.42209,1.299,1.58781,0.5692,0.64612,0.6594,0.31873,1.65572,1.51773,1.80015,0.000967122,0.000967122,0.000967122
37,850.524,1.41245,1.2933,1.57257,0.57253,0.63396,0.66005,0.32456,1.67063,1.50627,1.83486,0.000965239,0.000965239,0.000965239
38,871.966,1.41508,1.28727,1.58286,0.65793,0.59094,0.6593,0.32103,1.67797,1.53465,1.83121,0.000963306,0.000963306,0.000963306
39,895.162,1.42001,1.27793,1.57537,0.54546,0.64948,0.63533,0.32433,1.6515,1.48311,1.80673,0.000961322,0.000961322,0.000961322
40,916.582,1.42619,1.28333,1.58509,0.56348,0.59091,0.63456,0.31439,1.67347,1.53056,1.83874,0.000959289,0.000959289,0.000959289
41,939.827,1.40448,1.27364,1.57174,0.65337,0.64685,0.69471,0.33645,1.68744,1.44789,1.86165,0.000957205,0.000957205,0.000957205
42,962.068,1.40863,1.27449,1.56457,0.6445,0.63907,0.69228,0.34372,1.63344,1.43058,1.774,0.000955072,0.000955072,0.000955072
43,985.973,1.3891,1.24923,1.55507,0.57755,0.64151,0.67754,0.32875,1.68037,1.44286,1.80986,0.000952889,0.000952889,0.000952889
44,1008.02,1.39633,1.25591,1.55814,0.54346,0.61797,0.63183,0.3205,1.68122,1.53861,1.80974,0.000950658,0.000950658,0.000950658
45,1031.27,1.39534,1.22172,1.55483,0.59041,0.64096,0.64172,0.31239,1.72911,1.55259,1.82537,0.000948377,0.000948377,0.000948377
46,1052.69,1.3773,1.24352,1.54495,0.64455,0.61069,0.68179,0.33305,1.68194,1.41874,1.83124,0.000946048,0.000946048,0.000946048
47,1075.97,1.37437,1.23252,1.5471,0.63915,0.63782,0.66959,0.3229,1.65861,1.4665,1.84411,0.000943671,0.000943671,0.000943671
48,1098.13,1.37531,1.22285,1.54752,0.59905,0.64344,0.68438,0.33583,1.65527,1.44785,1.82216,0.000941245,0.000941245,0.000941245
49,1120.66,1.37193,1.22179,1.54583,0.57076,0.67478,0.6751,0.3199,1.71454,1.46834,1.87033,0.000938772,0.000938772,0.000938772
50,1142.67,1.36536,1.18544,1.52147,0.60635,0.6344,0.6663,0.32912,1.64571,1.48322,1.85267,0.000936251,0.000936251,0.000936251
51,1164.49,1.34711,1.19538,1.53159,0.63212,0.60814,0.65307,0.32066,1.7422,1.46236,1.87719,0.000933683,0.000933683,0.000933683
52,1187.65,1.33618,1.19077,1.51472,0.57621,0.65137,0.67154,0.32433,1.68124,1.48275,1.84492,0.000931067,0.000931067,0.000931067
53,1209.35,1.3574,1.18633,1.52953,0.57515,0.68299,0.69024,0.34278,1.66177,1.40053,1.81161,0.000928405,0.000928405,0.000928405
54,1232.88,1.34589,1.18265,1.5199,0.5729,0.67851,0.67867,0.33212,1.67522,1.47267,1.8282,0.000925697,0.000925697,0.000925697
55,1254.62,1.33362,1.17417,1.51042,0.59412,0.64039,0.67019,0.32833,1.73889,1.41104,1.8806,0.000922942,0.000922942,0.000922942
56,1277.84,1.33316,1.14335,1.50613,0.6574,0.61808,0.68495,0.33276,1.70524,1.41129,1.83907,0.000920142,0.000920142,0.000920142
57,1299.69,1.32295,1.13839,1.50351,0.63261,0.63833,0.68938,0.34089,1.66997,1.3911,1.8119,0.000917296,0.000917296,0.000917296
58,1323.07,1.30724,1.15671,1.49998,0.63448,0.62451,0.65312,0.3176,1.70198,1.50765,1.88394,0.000914405,0.000914405,0.000914405
59,1344.53,1.30893,1.13046,1.49687,0.63398,0.66297,0.69649,0.35587,1.6475,1.38018,1.79674,0.000911469,0.000911469,0.000911469
60,1368.34,1.30826,1.1303,1.48487,0.65328,0.62893,0.67131,0.33204,1.71492,1.42031,1.85651,0.000908488,0.000908488,0.000908488
61,1389.79,1.28362,1.10882,1.48302,0.69543,0.63312,0.69461,0.34518,1.68564,1.43043,1.8486,0.000905463,0.000905463,0.000905463
62,1412.62,1.31951,1.11796,1.49821,0.62033,0.60903,0.63506,0.31112,1.71912,1.47136,1.84181,0.000902395,0.000902395,0.000902395
63,1434.75,1.31504,1.09405,1.48909,0.62633,0.63167,0.65409,0.30962,1.73138,1.45223,1.89917,0.000899282,0.000899282,0.000899282
64,1456.72,1.29413,1.08435,1.46913,0.62102,0.63503,0.65971,0.32247,1.71725,1.40582,1.85405,0.000896127,0.000896127,0.000896127
65,1479.18,1.29665,1.0842,1.47992,0.61219,0.64371,0.66335,0.3251,1.70572,1.41487,1.84554,0.000892928,0.000892928,0.000892928
